ID,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
RALGDS,212,349.5,277.4,298.6,281.6,303.9,268.8,278.1,276,281.6
SULT2B1,70.2,28.6,67.6,-3.8,49,111.8,65.9,105.5,59.7,155.8
GPS2,648.3,637.7,750.9,518.6,662.7,756.7,627.8,594.4,734.6,827.5
PAPPA,61.6,129,9,6,98,39.8,108.8,135.4,58.8,49
SF3A3,349.5,331.2,385.3,417.7,314.4,380.2,399.4,332,416.6,460.5
CPD,202,153.7,183.4,396.3,227,157.1,340.8,195.1,229,160
CD38,160.3,168.3,44.2,36.7,27,192.8,81.7,115.3,46.8,5.6
CC1.3,411,428.7,480.6,249.8,426.3,418.5,500.6,436.4,474.2,381.6
CPT2,88,52.6,32,65,154.3,65,73.8,44.1,16,74.3
CALML3,-103.4,32,44.2,14.8,52,83.5,57,1,53.1,71.2
SNTA1,70.2,-15.5,87,5.2,-18,65,76.4,14,2.5,39.9
PTPNS1,235.2,244.9,289,259.9,289.7,175,128.4,245.5,315,256.4
PTMA,7640.9,8929.4,7632.8,6269.2,8421.9,9871.7,5064,8351.1,8262.8,6718.1
UROS,261.5,264,251,327,214.1,249.8,359.6,257.4,231,283.4
ABL2,178,192.4,228,119.7,168.3,106.3,95.3,139.7,179.6,215.6
MDM4,22.4,45,58.1,52,46,2.1,20.2,35.5,53.7,35
P2RY2,-34.3,37.8,52,-6.9,24.6,33.2,-1.8,-8.6,8.1,2.3
FYN,1387,1214.8,966.1,862,941.7,1199.5,881.6,1027.9,1042.1,1097.4
CYP4A11,133,107.1,116.2,153.6,136.5,137.5,74.6,77.2,163.7,152.6
LAMA3,-135,-51.7,-123.2,-110.3,-66,-71.2,-46.6,-80.2,-130.8,-105
SMCY,397.5,349.5,5,248.9,-9.3,1.3,275,285.5,174.9,-42.6
PSME2,1981,4160.5,1333.8,1413.6,1527.8,4655.8,1507.2,1665.7,1504.6,1315.8
AVPR1B,63.9,16,81,71,-5.1,51,48.5,54.5,53.7,6.4
PLCD1,1071.5,1161.7,1139.8,819.2,808.8,1032.2,838.5,939.6,1006.1,1032.2
ETV2,309.8,246.8,403.7,375,357.1,366.5,279.6,425.8,469.8,394.5
KIAA0368,26.9,17.7,71.1,3,43,34.3,60,42.4,31.2,71.2
PTPRK,993,618.1,961,886.7,974.5,817.2,1139.7,1014.5,1150,1327.7
SFRS4,886.2,983.3,977.1,786.8,842.2,840,928.8,732.5,813.2,1023.3
N33,55.6,49.4,56.4,156.2,23.9,52.7,158.9,79,119,152.6
CDH17,27.7,70.2,108,97,68.5,79,39,20.2,75.1,41.6
TACSTD1,692.7,571.1,687,800.6,865.1,833.1,830.3,697.8,974,1220
TIEG,125,188,200.7,217.3,224,208.8,367.8,299,375.5,357.5
SEMG2,-38.9,-48.9,1.7,-38.1,-15,-49.3,-8.8,-69.3,-3,-10
OSIL,-3.6,-27.4,30.5,6,19.3,-12.8,-26.5,-16.4,-0.8,14
PIK4CB,470.7,481.5,583.9,424.3,497,530.2,514.4,340.5,538,646.3
RING1,769,709,747.9,674.9,847.2,752.1,690,765.3,796.1,833.3
GPR17,45.8,50.2,57,-5.3,48,4.7,19.3,53.9,50.2,20.3
CSN2,1327.9,1264.8,1292.1,1094.3,1134.4,1260.6,787.8,1224.2,1376.6,1245.2
CRIP2,2384,1572.3,4839.5,2270.8,1763.8,2675.4,2987.2,2520.9,3347.9,2870.9
SDC2,35.5,75.5,203.3,126.6,124,102.2,158,174,110.7,139.3
RFP,264.1,264,307.7,245.5,288,273,278.8,265.8,239,236.9
KIAA0041,182,210.2,237,213.6,207.8,188,249.8,164.6,217,230.8
CA4,214,190.8,83,198.9,459.9,399.3,503.5,308,442.1,878.1
FLJ10871,285.2,276.5,287.1,216.4,274.2,278,200.7,269.9,206,224.7
RAB3B,69.4,80.1,110.7,65,59.7,75.1,81.7,62.3,120,131.2
STC1,-41.8,-33.9,26.8,12.5,212.3,-19.2,144.9,21.8,147.5,95.8
STAT5A,641,764.1,524.3,508.9,575.9,559.6,333.7,594.4,350.5,392.3
POU4F1,-71.7,-94.9,-87.9,-79.7,-143.9,-92,-221.6,-238.6,-151.7,-81.8
SERPINA4,161.4,172.9,297.3,235.4,187.9,206,117.2,158.9,194.3,193.6
GUCY1A2,16,34.3,74.3,61.6,17.7,66.8,10.2,10,41.6,53.2
IGL@,646.5,628.1,665.9,483,390.9,444.5,335.3,537.1,665.1,534.4
DNM1,248.3,253.5,174,181,166,172,229.7,342.4,79.9,181.6
TRPC2,17.7,8.1,22.7,16.8,26,75.1,23,41.6,21,-4.3
G0S2,225.2,462.5,823.7,1023.1,534.5,477,1638.6,1099,1441.3,1097.4
CD58,91.3,222.1,136.5,236.3,206.9,238.7,271.9,148.3,241,226.5
TSC22,1747.2,1039.1,2408.6,1198.4,1958.6,911.7,1910.9,1402.2,2310.6,2022.5
TOPBP1,116.3,75.5,84,26,102.5,132.2,121.2,99.7,66.8,83
ZNF-kaiso,66.8,22.4,54.5,52.7,5,40.5,-4.2,50,51.1,62
THRSP,16.8,-27.4,-18.5,-60.8,-10,-109.7,-36,2.3,-38.5,-80.1
PIP5K2A,66.8,28.6,39.8,26.9,33.2,79.9,43,52,49.4,44.1
CROC4,166,142.2,134.3,121.4,70.2,139.7,99.7,147.2,130,147.2
NRL,-37,-6.9,11,-18.2,30,-22,-13.7,-5.8,46.8,5.6
KCNJ4,133,183,189.1,173,152.4,193.5,129.2,200.1,216,287.1
LHCGR,24.6,-6.9,14,5.2,26,13,13.7,19.3,54.2,46
PIK3C3,159.1,150.5,104.2,162,143.1,134.3,238,124.5,214,154.8
GOLGB1,884,829.2,645.7,627.1,626.1,618,797.5,843.1,946.2,705
ASGR2,35.5,80.1,44.2,40.7,49,23.5,44,102.2,29,36
NCOA4,514.9,669.8,436.6,542.3,534.5,625.3,654.9,429.3,601.2,702.9
KIAA0088,1134,1013.8,1246.6,1071,1070.7,983.6,965,1319.4,980.1,1061.8
ZFP103,526.4,541.3,572,522.8,544.3,491.5,566.8,479.5,586,624
KIAA0095,122,195.6,113.5,192.7,114.7,149.6,190,100.5,94.4,208.1
CYR61,462.8,451.3,1754.8,1399.3,1596.3,336.5,1732.3,1023.7,966.4,901.3
MADH6,105,62,142.9,351,236,170,311.5,133.2,134.3,216.6
GP36B,562.3,466,240,377.2,430.3,397.1,285.7,501.8,251.8,273.3
SNCA,243,114.7,239,154.5,213.2,206,233.8,160.8,258,207.1
CYP2A6,77.2,95,96,61.6,89,21,61,29.4,69.4,9
KIAA1128,297.3,264,304.6,354.8,374.5,317.9,422.4,241.1,306,348.7
ADRA2B,429,380.7,455.2,384.3,414.3,321.4,281.1,456.2,406,395.9
HARS,124,116.3,105.5,148.4,76.7,224.7,167.4,132.2,9,103.5
AP3S2,541,684.6,532.6,487.4,614.7,400.7,404.5,582.9,381.3,623
ILF2,761,710.8,715.8,661.2,623.6,799.8,709,598.9,728.6,745.1
MYOM2,21,-29.6,-7.4,92,58.3,53.4,52.7,4.3,74.3,-3.6
TRIP11,120,73.8,88,122.3,21,62.3,89.8,99.7,78.2,84
CALCA,95.5,189,179.6,165,130.9,104.7,76.4,127.2,68.5,37
MUC2,42,50.2,76.7,56.3,40,27,25,34.6,0.8,55.8
FBN1,570.2,441.8,712.9,518.6,368.2,424.4,826.2,788.9,563.3,443.2
UBE2D2,573.7,605.6,459.7,522.8,608.2,506.2,391.6,584.7,524.4,487.6
CACNA1A,40,-9.2,12,-41.2,52,-19.2,-4.2,32.9,-3.5,-29.7
FXYD5,9435.6,7025.7,11264.4,11934.2,8057.8,11001.7,10692,9270.5,12443.1,11017.2
KIAA0677,680.9,361.1,365.4,216.4,255.8,255.7,231.3,564.2,219,458.5
CDC2,2.2,23.1,3.7,0.4,-9.3,12,7.8,-5.1,21.7,-11.7
PRKX,113,98.9,69.4,130,154.3,168,78.1,24.3,26,68.9
RPS6KA2,-30.2,-50.3,-44.2,-65,113.8,-96.2,5.4,-26.8,46.8,-11.7
LAMP2,166,278.8,235,310.2,415,203.9,252.3,229.7,188.1,248.7
KIAA0016,982.5,771.2,1393.5,965.9,1101.9,952.5,1245.5,1051.3,1365.5,1406.8
TLK2,519,485.8,608.4,429.7,528.8,472.5,519.5,393.4,537.2,504
MCM5,854.7,785.4,798.6,732.5,701.7,833.1,548.5,629.2,712.4,735.2
KMO,65.9,72.9,28.2,110.7,89,51,79,81.2,55.9,68.9
SMARCA4,428.2,518.8,435.8,583.2,525.5,489.7,365,421.6,479.5,557.5
PAFAH2,85,68.5,150.5,63.9,72,96.9,76.4,118.9,151,112.6
GP2,554.4,506.4,708.1,504.7,544.3,504.1,395.5,689.8,495.2,527.4
HLA-DPB1,6271.7,6128.2,4059.7,3459.8,5924,4465.4,4326.2,2905.3,2263.7,4099.6
MYC,264.1,350.3,376.4,321.6,321.8,206.9,376,474.5,442.1,286.2
CDC7L1,143,112.2,113.5,108,63.7,156.1,64,26.9,86.2,84
SC4MOL,100,97,100.5,209.8,203.3,207.9,508.6,138.6,320.3,273.3
HMOX1,621.1,819.1,491.5,1134.5,862.2,765,988.4,570.4,836.5,439.5
NEB,22.4,6.4,4.3,8.2,42,6.4,-21,7.7,23.9,39.9
ENO1,3437.2,4336.3,2684.6,4558.8,3184.1,4452.8,2808.4,4275.3,3190.6,2856.3
SH3GL2,-36,-119.3,-100.6,-158.7,-57.9,-126.3,-126.5,-1,-100.3,-139.9
SON,671.8,596.2,578,559.7,670,546.5,796,650.7,454.9,653.4
DNM1L,19.3,59,65,61.6,44,25.2,68.5,38.1,19.6,18.1
FTH1,4658.3,5796.3,5653.3,4706.5,6537.3,3674.5,4222.9,4782.6,4830,4066.6
TAC1,-15,-7.7,-28.9,-12.8,-16,16.8,29.6,-33.7,35,7.3
P2RX3,160.3,92,132.2,70,127,160,91.6,101.3,103.8,119.8
ELA1,301.5,363.4,409.5,274.9,286.2,349.8,188.1,292,346.4,266.8
RFC1,151.9,163.7,221.3,131.2,111.3,173,196.2,184.7,107.2,179.9
TNNT2,71.1,75.5,44.2,108.9,85.3,23.5,52.7,109.8,42.4,20.3
AMD1,293.2,251.6,269.4,345.3,308.5,393.4,407.1,275.7,437.1,482.4
MMP14,-14,-34.9,31.2,17.7,-14,-10.9,36.7,36.4,-99.5,-51.9
PNLIP,9.9,-14.6,-7.4,20.2,17.7,-0.4,-0.6,-10,2.5,12
AGER,2028.2,2461.2,3383.7,2764.6,3082.2,3932.3,3478.3,2267.8,4197.6,6471.3
GAGE1,-3.6,18.5,37.8,54.1,-9.3,-24,27.2,33.8,45,39
PLAU,166,274.2,162.3,439.7,222.1,259.9,324.9,511.9,146.6,248.7
TAF2K,27.7,-8.4,6.3,19.3,-6.5,33.2,14.8,21,1.9,21.7
RAB5A,93.8,100.7,111.6,105.8,113,135.4,164.6,74.6,160.3,171
HXB,358,519.5,386.8,898.4,215.8,575.6,500.6,616.7,363,285.2
CMKLR1,16.8,43,76.7,57,-0.4,61,55.6,72.9,88.9,-15.9
PWP2H,79,125,-3.9,116.2,65,95.8,131.1,72,97.1,28.4
FLJ22489,291.1,278.8,380.9,265,267.8,312.3,356.2,248.9,330.1,385.2
ARHGDIA,1839.1,1753.3,1970.3,2106.4,1538,1956.2,1672.4,1631,1522.4,1873.7
ME1,-21,-36,-24.2,5.2,-10,-6,-16.1,-33.7,-8.9,-28.1
CARP,-14,-41.7,-33.6,20.2,-11,-44.9,-16.1,-45.6,16.7,-61.3
NCF1,629.2,1710.5,423,390.6,856.5,1017.2,405.2,535.7,435.7,429
HEP27,228.6,152.6,198.9,158,199.8,169,136.5,166.5,219,198
S100A1,61.6,21,22.7,33.2,73.6,-2.1,44,24.3,30.5,66.6
AKAP5,-62.1,-91.5,-53.3,-41.2,-47.5,-80.6,-16.1,-7.2,-10.7,-31.3
POU3F1,23.9,7.3,-0.3,66,-5.8,-2.1,-19.8,2.3,26.8,35
KIAA0205,197,204.4,212.8,174,176.1,209.8,296.6,217.6,222,238.7
FGA,74.6,11,32,-4.6,101.6,31,55.6,47,42.4,35
SAA4,-9.4,21,9,67,-6.5,-26,-5.3,-19.2,-39.3,-2.3
INSR,69.4,45.9,48,45,87.1,23.5,28.4,112.5,37,112.6
C1D,179,162.6,124.5,134.7,211.4,204.6,230.5,173.1,179.6,210.2
BDNF,50.4,42,114.4,33.2,124,61,101.3,45,110.7,133.5
ESD,942.6,1076.3,1089,711.4,875.8,1193.7,1287.8,739.3,1039,1124.1
H2AFC,-8.7,2.2,-12.5,-2.1,7,-18.2,-41.3,14,-1.4,-3.6
FLII,567.6,716.1,571.2,611.5,738.8,580.4,628.6,644.3,411.7,585.5
MAZ,18.5,60,53.9,93,82.6,0.4,7.8,49,58.8,18.1
SLC25A6,5506.9,4939.7,5974.6,6061.1,4811.8,4700.7,4709.3,5124.1,4253.8,6068.1
PITX2,5.6,-79.3,0.3,-44.3,-28,11,-13.7,-5.1,-60.2,-12.5
AQP5,477.7,301.5,347.1,378.7,233,200.4,347.2,378.7,317,372.9
LIMK2,327.9,371.1,421.4,488.2,408.6,321.4,392.9,341.4,311,451.2
HOXA1,208,158,198,91,153.3,155.2,59,130,131.1,101.6
ED1,69.4,31.1,29.8,52,59.7,21,28.4,57,-12.9,1.7
CDH13,101,56.4,150.5,115.3,50,79.9,108.8,66.6,90.7,113.4
BCL7A,16,-9.2,24.3,75.9,27,36.7,16.8,41.6,49.4,67.3
JUN,151,172.9,354.3,236.3,316.1,141.8,307.6,139.7,276,220.9
DXS1283E,62.7,48.5,114.4,86.2,70.2,31,52.7,76.4,79,121.7
TLR4,30.3,34.3,36.7,44.1,51,35.5,68.5,59.7,63.2,23.1
ATP2B1,136,152.6,198.9,145.8,86.2,155.2,80.8,167.4,188.1,152.6
ATSV,146.6,72.9,72.8,131.2,94,102.2,79.9,117.1,122,55.1
RPS6KB1,50.4,77.2,100.5,28.6,72.8,114.2,69.4,102.2,30.5,77.4
RBP2,-67,-66,3.7,-73.4,-35,-24,35.5,-69.3,-14.4,12
TMSNB,34.3,16,96,23.5,45,37.8,80.8,3.7,98,70.4
LSS,-8.1,18.5,-13.4,29.4,0.4,5.6,-7.7,0.3,-0.8,27.2
DDR2,623.8,450.4,669.5,543.7,379.6,535.2,721,653.9,427.9,642.2
ITK,200,241.1,103,81.7,98,270,120.4,135.4,131.1,133.5
CCR8,2.2,3,-9.1,7.5,-19,-9,9,33.8,26,-10.8
KIAA0253,958.8,1109.1,1164.1,981.5,1170.8,937.9,841.9,885.8,901.8,1010.7
SGCA,358,297.3,405.1,368.2,371.7,216.4,310.7,407.5,481.2,383
DNAJB4,48.9,44,66.8,68,32,74.3,73.8,39,83.5,60
CRYM,260.6,243,162.3,372.8,98,118,157.1,612.2,297,276
KIAA0036,159.1,76.4,119.8,126.6,92,138.6,83.5,183.6,125,125.4
FLJ14356,16,23.9,24.3,-10.9,-11,17.7,4.2,3,34,16.7
VIL1,31.1,3.9,-19.3,-31.7,-3.7,-29,1.8,22.7,-0.3,-10.8
PABPC1,3340,3381.3,2645,3091,3024.9,2542.6,2626.3,2842.8,2701.5,2603
GEM,389,375.7,1419.4,796.5,490.1,382.4,1342.3,491.2,724.4,500.1
TPM4,948,926.5,1092.4,1548.6,691.1,1193.7,1619.5,916.6,997.7,1075.9
RAP1A,590.4,696.8,919.9,579.9,583.2,851.6,641,655.5,1023,660.4
TEAD4,40,52,49,102.4,71.1,102.2,118,26,45.9,95.8
PDLIM1,1822.7,1768.5,2126.8,1853.8,1913,1896.9,2185.3,1854.8,2315.9,2257.5
NBP,136,114.7,129.1,226.8,188.9,176,186.2,190,126,202.4
MIF,3821.1,3094.8,2728.2,4245.5,2085.6,2948.1,2767.9,3061.1,3406.4,2688.7
UMPS,144.9,176,118,198,174,192.8,185.3,130,151.9,176.5
PLEC1,48.9,-8.4,-4.8,-0.4,9,3,0.6,24.3,-12.9,21
FOSB,520.6,318.7,6055,5961.5,5661.4,394.1,4031.8,1207.7,3033.2,874.7
SQLE,370.3,394.9,308.7,345.3,359.2,340.9,487.9,280.6,533.8,551.9
CYC1,688.2,812.9,747,738.2,722.1,741.1,745,674.7,732.1,898
TAF2F,404.2,386,342.7,282.2,362,405.1,469.7,375.4,474.2,485.5
VIP,15.1,39,37.8,29.4,-1.3,26,18.5,74.6,29.8,16
F11,107,64,96,30.3,90,10,93.5,98.8,52.6,123.5
HADH2,373.4,537.7,272.1,423,528,511.1,506.4,154.8,328.4,254.5
IFNA8,93.8,24.6,70.2,72,58.3,58.3,45,42.4,18.9,61
CD47,100,133.5,131.1,144.9,108.8,115.7,137.5,131.1,156.2,101.6
HK1,1216.8,1410.1,1384,1302.6,1347.9,1388.8,1086.6,1317.2,1285.1,1247.3
CBF2,162.6,246.8,355.9,226.8,210.5,310.5,293.5,317,225,352.4
GNAQ,205,253.5,236,275.7,257.7,280,293.5,202.6,311,331.6
PDE2A,123,170.6,214.5,94,99.8,113.4,164.6,208.7,116.2,85
P4HB,1986.6,1590.3,1277.2,2057.5,1602.4,1617.5,1448.6,1810.5,1257.4,1418
CHRNE,175,161.4,227,193.6,182.5,80.8,75.5,200.1,187.2,216.6
FUT3,392.4,399.4,376.4,445.7,448.7,406.6,294.3,347.1,432.2,367
KCNAB2,333.4,267.3,206.9,254.8,292.3,209.8,206,195.1,166,236.9
CFLAR,635.6,619.7,461.5,593.7,608.2,653.8,625.7,361.2,494.4,640.2
TPD52L1,0.8,-32.8,19.6,-12.8,-96.5,-6,-13.7,-2.3,18.1,1.7
IL1R1,790,689,990.7,1052.7,768.7,884.7,999.8,998.6,919.2,981.8
IFNA2,11.6,5.6,55.8,17.7,84.4,46,7.8,7,28.2,35
OR1G1,290.1,228.7,353.5,227.8,221.2,285,168.4,255.7,285,361.9
CSPG4,12.5,50.2,43.5,47,-2.1,52,93.5,21,68.5,9
DAXX,806,772,670.3,641.6,602.6,626.2,428.1,634.8,713.3,782.1
NDUFA5,103,132.6,144,111.6,72.8,77.4,250.6,92,184.4,91.3
ARHGEF12,419.2,219.6,476.1,433,482.3,430.3,761.5,497.7,612.5,693.8
XRCC2,13.4,-32.8,2.3,1.3,-2.1,17.7,-13.7,13,-5.2,-36
DNASE2,501.1,468.6,382.4,404.7,507.6,402.2,335.3,359.5,469.8,356.8
CALCRL,436.5,367.2,514.4,533.3,371.7,507.6,916.5,428.1,614.4,718.9
ZNF148,675.5,618.1,512.1,425.7,515.8,718.2,414.8,457.8,641.3,620.1
TTN,73.8,26.9,39.8,27.7,52,146.8,234.7,89,45,104.4
RPS23,12104.4,14029.8,18189,14279.7,11502.3,14955.7,14645.3,11831.8,15472.7,14805.4
SLC6A1,-175.2,-125.9,-119.7,-120.8,-38.3,-103.4,-107.8,-125,-110.7,-85.1
MTHFD1,277,356.5,288,225.9,294,277,280.3,244.7,156.2,232.6
POLD2,257.1,200.4,219.6,172,318.9,164,222.3,256.5,221,213.4
SLC21A3,26.9,4.7,29,-1.3,54.5,6.4,16.8,16,43.3,43.3
STCH,118,96,131.1,118.9,83.5,105.5,111.3,158,115.3,122.6
CDK5,434.2,382.5,296.3,463.7,380.4,415.2,340.1,334.8,343.9,345.3
KCNH2,-50.5,-70.4,-1,-68.1,78.2,47,34.3,-3,-2.5,37
ITGB1,9,27.7,-14.2,4.5,-13,42.8,-26.5,-11.8,-1.4,-15.9
NAF1,779,1065.2,745,995.6,678.9,809.9,726.2,840.5,515.8,792
HNRPD,35.5,11,55.1,6.8,16.8,46,52.7,22.7,53.7,16.7
IGHG3,468.1,286.5,39.8,18.5,135.6,40.5,-30.5,251.5,25.3,-3.6
THRA,-44.7,-2.2,-2.3,-24.2,-29,8.1,-33.3,-2.3,0.3,-33.6
RHD,1236.5,990,1190.8,992.7,928.1,904,589.2,961,1323.3,1141.1
HOXA9,10.8,1.5,7.7,-0.4,-3.7,-7,-10,73.8,-6.2,-8.1
SEMA3F,51.2,50.2,120.8,108.9,91,114.2,46.2,51,82.6,60
MJD,3,29.4,31.2,8.2,-28,16,5.4,17.7,36,40.7
PLP1,131,116.3,174,61.6,141.2,119.2,109.7,179.3,172.9,175.7
LSM1,277.9,343,372.5,327.9,272.4,289.9,355.5,370.1,342.3,380.2
POLR2I,493.5,478.9,591.5,602.6,437,451.5,449.7,485.3,515.8,632.1
SMA4,44,4.7,16.7,13.7,47,40.5,11.3,11,34,6.4
RNAHP,62.7,51.1,66.8,53.4,74.3,42.8,81.7,99.7,93.5,10
IGKC,29133.3,30596.4,18473,4896.9,18664.5,13692.7,17115.4,28222.1,10117.1,11707.9
KIAA0195,804,648.1,844.3,668.4,696,688.1,627.8,725.8,764.5,823.3
CENPB,355.7,352.6,423,591.3,478.9,506.9,281.1,482.8,326,380.9
IGF2R,545.9,696,460.6,511.6,646.4,578.8,559.6,447,544.9,737
MGC10433,365.7,322.9,435,418.3,348,400.7,412.9,219.4,423.7,441.8
GFRA2,44,75.5,18.1,-7.7,74.3,1.3,42,86.9,112.5,64
CREB1,197,177,154.8,223,201.6,165,241.3,197.6,255.3,313
PPT2,67.6,46.8,93,119.7,10.6,85.3,110.5,65,125,98.9
GRO3,45,0.8,87,179,252.2,11,190.9,130,121,98.9
PBX1,288,208.6,375.6,221.1,171.7,219.2,200.7,309,317.8,290
COL6A3,100,138.8,45,176,130.9,108,98,200.1,43.3,57
PCYT2,331.6,256.4,349.6,248.1,331.5,281,250.6,224.9,291,313
TUBA1,364.9,310.8,125.4,232.5,34.3,284,198.9,276.5,250.9,179.9
PML,239.7,247.8,229,206,223,228.2,145.8,225.9,279,235.2
54TM,-32.7,-56,-66,37.8,-33,-66,80.8,12,-48.5,19.6
ID1,2570.2,1755.4,4076.7,2730.2,3437,3240.4,4087.8,3523.1,4144.4,4464.2
CIR,187,213.6,77.4,127.4,149.6,165,144,108.9,108,173
ABCD3,123,142.2,86,198,190,197.7,149.2,173.1,171.7,223
RORA,39,16.8,39,8.2,29,50,61,67.3,4.7,15
WIT-1,103,63,50,60.4,88,14,62,152.6,15.1,52.6
CRHR1,372.6,270.4,278.3,254.8,363.3,281,196.2,190,342.3,286.2
MLH1,1439.8,1218,1238,1063.3,1139.8,1225,902.8,1359,1327.4,1107.8
NPR1,273.3,270.4,435.8,342.5,403.8,364.8,373.2,274,343.1,453.2
CTSK,1365.9,552.3,340,415.7,288,376.2,610,501.8,462.8,351.7
DGKG,-99.5,-80.4,-63.3,-65,-88.1,-41.6,-55.4,-80.2,-118.9,-68.5
PARG,119,176,85,124,169.4,120.4,96.2,124.5,102.2,161
TCEB1L,76.4,76.4,83,89,90,75.1,87.1,102.2,123,68.1
ATP7A,72,39,66.8,69,69.4,52.7,56.3,110.7,61.4,58
GABPB2,115.5,19.3,66.8,79,81.7,77.4,90.7,74.6,12.5,16.7
CLCN4,77.2,33.2,88,68,21.7,116.5,49.7,92,63.2,61
RAP2B,-207.7,-161.5,-187.6,-244.1,-174.4,-224.1,-210.1,-216.7,-119.6,-173.1
FUS2,-12,-2.2,17.4,12.5,117.2,50,95.3,121.7,-21.8,-6.2
GNLY,2063.3,406.5,145.1,231.6,171.7,530.2,284.9,182.5,367.2,284.3
PAH,12.5,47.6,71.1,50,21.7,20.2,19.3,20.2,21.7,65
PDE3B,164.9,100.7,180.6,147.5,190,150.5,148.4,108.9,156.2,178.2
TPM1,211,175,274.7,158,171.7,190,182.5,178.3,150.1,216.6
ZNF183,261.5,289,217.1,233.5,250.3,244.7,242.2,191.7,294,274.2
NRIP1,325.2,428.7,273,365.2,283.4,425.2,386.4,288,404.4,432
PMP22,2729.4,1695.3,5496.7,3075.2,2862.2,1964.3,4851.4,3999,4101.7,3840.7
MTIF2,157.1,186,132.2,158,172.9,150.5,149.2,140.8,131.1,140.5
TNFSF9,123,72,114.4,139.3,140.3,87.1,170.2,60.6,122,114.9
PL6,316,253.5,280,346.2,318.9,322.3,277.3,378.7,297,358.2
KIAA0252,26,176,200.7,170,155.2,125.2,189.1,197.6,179.6,240.4
BMI1,732,474.6,561,445,472.9,495.2,449.7,501.1,570.8,647.3
STK19,221,203.6,301.5,274.9,232,252.3,286.5,214.9,428.6,317
GNGT1,-58.3,-0.8,1,23.5,-27,5.6,-6.5,-15.5,-4.1,3.9
KIAA0166,58.1,44,28.2,61.6,42,19.3,43,32,65.9,14
LAP18,491.7,460.8,665.1,517.2,445.7,566,465.2,450.3,580.3,511.8
ARF4L,309.8,286.5,394.1,227.8,217.6,288,161.8,336.7,281,336.1
PCNA,1008.9,840.7,712.9,919.7,824.3,1916.5,936.4,1011.2,1085.7,974.3
PRDX3,363.4,348,259,454,288.9,439.5,560.4,355.9,356.3,374.3
CNTNAP1,211,96,158,141.7,104.4,138.6,86.2,222.1,76.7,174.8
ADF,-84.2,-111.5,-32.1,-62.9,-5.1,-31,-77.5,-42,-36,-51
GFER,362.6,222.1,170.8,229.7,281.6,330.3,280.3,338.6,245.6,167
TRA@,258.8,586,132.2,189,146.8,426.1,106.3,147.2,99.7,137
LOC55967,908.9,831.5,836.8,734.9,798.5,880.1,759.2,764.5,1032.9,868.9
GIT2,227.4,174,133.2,105.8,126,134.3,112.2,118,58.8,175.7
SCAP,258,497,112.5,371.2,434.3,320.5,314.6,283.1,29.8,198.9
IL12B,41,14,30.5,6,49,2.1,-10,28.6,37,18.1
ZNF140,2.2,1.5,24.3,1.3,66.8,47,35.5,26.9,38,-7.5
CSRP3,100,53.9,145.1,72.8,65.9,79,45,93,112.5,117.2
SLC7A6,167.1,130.9,122.6,177,155.2,158,202.4,196.7,127,206
NTN2L,-19,72.9,3.7,-29.6,-40.6,-50.4,-18.6,-42,26,23.9
MEOX2,17.7,17.7,50,8.2,52.8,17.7,37.8,61.4,3,45
PTK9,260.6,283.4,217.1,397,287.1,370.9,368.5,305,322.7,267.8
MAP1A,127,83.5,49,67,42,21.8,44,98,118,51
QSCN6,1531.6,1416.3,2405.3,1560.5,1597,1225.7,1463.2,1971.9,1373.9,1925.7
CRYAA,811,741.9,770.3,578.3,891.6,701.5,662.9,619.3,877.4,813.7
GDNF,-37,-17.3,-17.6,20.2,-14,-40.4,-36,-5.8,9,1.7
RAB11B,99,61,65,49,45,42,61,41.6,96.2,52.6
RNASE3,144.9,122,78.2,326.1,138.4,69.4,109.7,135.4,122,101.6
SLC26A3,22.4,-7.7,45,23.5,5,17.7,10.2,23.5,-3,30.8
RPN2,3964.8,2888.8,2869.9,3298.6,2953.8,2697.9,2203.5,3806,2642.5,2756
VARS2,237.4,247.8,197.1,244.7,188.9,162,186.2,146.2,172.9,164
KIAA0094,467.2,354.9,477.9,471.6,427,518.2,506.4,437.6,413.8,539.9
MYH8,28.6,0,39,28.6,0.4,48,40,32,28.2,5.6
PTGER1,61.6,91,1,225.9,-12,11,223,118,30.5,75.1
G6PD,878.6,996,707.2,763.3,1067.4,872.4,614,633.2,696.7,784.8
ARL6IP,1052,1019,1144.1,1142.9,1296.3,1150.7,1183.3,1181,1165.2,1164
CST6,272.4,401.2,471.5,595.3,473.7,427.7,796,488.7,530.3,590.2
MAPRE2,55.6,16.8,16.7,1.3,3,9,16,35.5,34,15
KIAA0092,88.8,206,101.8,90,127,102.2,196.2,147.2,104.7,65
SFRS10,536.1,491,480.6,463.7,588.8,662.2,787,503.8,645.7,693.8
FABP6,140,143.1,91,156.2,28,75.1,23,134.3,260.6,45
CSN1,32,16,34.3,13.7,62.3,51,20.2,8.3,38,52.6
GYG,505.2,531.8,411,481.2,399.7,441.1,513.7,421,439.2,333.4
SIL,25.3,63,43.5,71,73.6,41.2,47.3,46,28.2,55.8
CCND3,1037.4,839.2,1135.6,600.2,1091.7,1077.4,941.8,814.1,855.7,1105.5
CLDN5,1056.2,568,3896.2,1236.2,1755,1361.8,2162.4,1346.8,2419.5,2447.8
